Question,A,B,C,D,E
What excites you most when starting a new project?,Finding patterns and designing a system,Researching the context,Trying a lot of different ideas,Getting the team to work toward the same vision,Discovery along the way
How do you approach working with others?,Bridging gaps between people or roles,Taking the lead and shaping the process,Filling in wherever I’m needed,Supporting others as they grow,Keeping things small and focused
What’s your creative strength?,Connecting unexpected ideas,Making sense of messy information,Asking bold questions,Turning plans into action,Explaining ideas clearly
What kind of challenge energizes you?,Scaling an idea across different contexts,Working without a clear path,Digging into deeper meaning,Changing how people think or act,Reinventing how things are done
"When I’m stuck, I…",Jump into making something,Look back at my research,Zoom out and reframe the problem,Talk it through with someone,Try something totally unexpected
How would I describe my creative path so far?,Nonlinear and cross-disciplinary,Driven by purpose or values,Full of pivots and changes,Focused on shaping ideas with others,Still in motion — and open
"In an ideal world, my work would…",Teach or inspire someone else,Spark new possibilities,Shift a system or community,Work across different platforms,Stay fluid and adaptable
What do I value most when designing?,Structure and cohesion,Context and clarity,Play and experimentation,Connection and collaboration,Speed and flow
My dream project would be…,Designing a system or workflow,A speculative exhibition or provocation,A mentorship or learning experience,A tool that reshapes how we work,Something that spans industries
I relate to design tools as…,Extensions of my thinking,Things to question or remix,Flexible and ever-changing,Something I share or teach,A way to visualize deeper ideas
The kind of feedback that fuels me is…,Open-ended questions,Insight that clarifies meaning,Fast reactions that shift the work,Honest conversations,Seeing it work in the real world
I wish more people understood that design…,Visuals can be strategic,Can change how things work,Is a way of thinking,Thrives in complexity,Belongs everywhere
