Question,Answer,Archetype
Q1,A,The Orchestrator
Q1,B,The Researcher
Q1,C,The Experimentalist
Q1,D,The Director
Q1,E,The Generalist
Q2,A,The Connector
Q2,B,The Director
Q2,C,The Improviser
Q2,D,The Educator
Q2,E,The Generalist
Q3,A,The Multidisciplinary
Q3,B,The Orchestrator
Q3,C,The Disruptor
Q3,D,The Advocate
Q3,E,The Educator
Q4,A,The Orchestrator
Q4,B,The Improviser
Q4,C,The Researcher
Q4,D,The Advocate
Q4,E,The Disruptor
Q5,A,The Experimentalist
Q5,B,The Researcher
Q5,C,The Generalist
Q5,D,The Connector
Q5,E,The Disruptor
Q6,A,The Multidisciplinary
Q6,B,The Idealist
Q6,C,The Improviser
Q6,D,The Director
Q6,E,The Generalist
Q7,A,The Educator
Q7,B,The Experimentalist
Q7,C,The Advocate
Q7,D,The Orchestrator
Q7,E,The Generalist
Q8,A,The Orchestrator
Q8,B,The Researcher
Q8,C,The Experimentalist
Q8,D,The Connector
Q8,E,The Improviser
Q9,A,The Orchestrator
Q9,B,The Experimentalist
Q9,C,The Educator
Q9,D,The Disruptor
Q9,E,The Multidisciplinary
Q10,A,The Researcher
Q10,B,The Disruptor
Q10,C,The Generalist
Q10,D,The Educator
Q10,E,The Idealist
Q11,A,The Researcher
Q11,B,The Educator
Q11,C,The Improviser
Q11,D,The Director
Q11,E,The Advocate
Q12,A,The Orchestrator
Q12,B,The Advocate
Q12,C,The Multidisciplinary
Q12,D,The Researcher
Q12,E,The Connector
