Archetype Name,Designer Name,Designer Description
The Multidisciplinary,Irma Boom,"Originally trained as a graphic designer, Boom has expanded book design into a multidisciplinary art form, merging publishing, architecture, and sculpture."
The Researcher,Ruben Pater,"A critical designer and educator who investigates the intersection of design, geopolitics, and social issues, using research-driven design as a tool for activism."
The Generalist,Zak Kyes,"Balances roles as a graphic designer, curator, and publisher, showing how designers can move fluidly between disciplines while maintaining a strong conceptual voice."
The Director,Tom Hingston,"A creative director known for blending typography, motion, and music in visual storytelling, leading major branding and music industry projects."
The Orchestrator,Natasha Jen,"A Pentagram partner who seamlessly integrates branding, interactive, and environmental design, demonstrating a systematic approach to complex design challenges."
The Advocate,Ruben Pater,"Uses design as a political tool, focusing on research-driven, ethically-conscious projects that challenge mainstream narratives and advocate for social change."
The Experimentalist,Martine Syms,"A designer and artist who explores the intersection of design, film, and technology, constantly pushing the boundaries of narrative and media."
The Disruptor,Samuel Ross,"Founder of A-COLD-WALL*, Ross blends industrial design, fashion, and graphic design to challenge conventions in both high fashion and streetwear."
The Connector,Juliette Cezzar,"An educator, writer, and designer who bridges academia and professional practice, making design knowledge more accessible and actionable."
The Idealist,Eike König,"Founder of HORT, a studio that embraces experimental, non-hierarchical collaboration while promoting artistic integrity and creative independence."
The Improviser,Julian Glander,"A 3D artist and designer whose work playfully blends surrealism, humor, and interactive storytelling across multiple media."
The Educator,Silas Munro,A designer and educator who champions diversity in design history and actively works to bring underrepresented narratives into the mainstream.
