Icon, Archetype, 1-Line Description
🧠, The Orchestrator, "Builds frameworks and connects dots across teams, systems, and ideas."
🔍, The Researcher, "Finds insight in history, data, and culture to deepen every decision."
🎨, The Multidisciplinary, "Blends tools and disciplines fluidly — always evolving, never boxed in."
📢, The Advocate, "Uses design as a tool for impact, equity, and industry change."
💡, The Idealist, "Imagines a better design world — ethical, accessible, and sustainable."
🤝, The Connector, "Bridges gaps between people, disciplines, and ways of thinking."
🧪, The Experimentalist, "Pushes form, function, and tools to expand what design can be."
⚡️, The Disruptor, "Challenges norms and reinvents creative paths from the inside out."
🎬, The Director, "Leads creative vision and execution — aligning teams to deliver clarity."
🪄, The Educator, "Shares knowledge and mentors others to grow the field of design."
🧭, The Generalist, "Adapts across roles and industries, thriving on variety and versatility."
🎲, The Improviser, "Works fast and intuitively, solving problems on the fly with creative instinct."
